clean_tags,date,Month,tweet,language,replies_count,retweets_count,likes_count,Year,Day
"fridaysforfuture, climatestrike, schoolstrike4climate, emergenciaclimatica",2021-10-01,10,"Hoy #FridaysForFuture #ClimateStrike, #schoolstrike4climate  Nos despertamos con la estrategia ciega del gobierno mexicano que no ve la #EmergenciaClimatica:  Quiere cancelar Certificados de Energías Limpias en su visión de “El petróleo es el futuro”  https://t.co/vqOEqXgzbs",spanish,6,40,58,2021,1
"inktober, inktober2021, drawing, crystal, water, lakes, streams, endpollution, fridaysforfuture",2021-10-01,10,"#Inktober #Inktober2021 Challenge. 1 ink #drawing a day through October, 31 drawings total.  As ink is not my usual medium, they will all be simple subjects.   Oct 1 ... Day 1: #Crystal ballpoint  Keep #water in #lakes and #streams crystal clear. #EndPollution. #FridaysForFuture  https://t.co/pVCyPDSN1q",english,5,4,13,2021,1
blockbiggerchallenge,2021-10-01,10,#BlockBiggerChallenge: Für die nächste Baggerblockade nominieren wir @FridayForFuture oder was sagt ihr @ende_gelande?  https://t.co/UTPCkDtCxU,german,2,12,50,2021,1
lützerathbleibt,2021-10-01,10,"✊ Gemeinsam verteidigen wir die 1,5°C-Grenze!  #LützerathBleibt, damit kein Mensch mehr für Kohle enteignet wird und Deutschland seine Verpflichtungen des Pariser Abkommens einhält!  https://t.co/xf0zw1HIZe",german,41,373,1713,2021,1
"thereisnoplanetb, uprootthesystem, riseupmovement, fridaysforfuture",2021-10-01,10,School Strike For Climate  #ThereIsNoPlanetB #UprootTheSystem #RiseUpMovement #FridaysForFuture  https://t.co/h16ezuTn54,english,5,46,216,2021,1
"fridaysforfuture, climatestrike, cop26, action, scotland, fairshare, climatejustice, momoreemptyconferences, facetheclimateemergency, uprootthesystem, nomoreemptypromises",2021-10-01,10,Wk 137 #FridaysForFuture #ClimateStrike Less than a month til #Cop26 remember countries have had yrs to take #Action It’s now time #Scotland &amp; beyond pay a  #FairShare &amp; deliver #ClimateJustice #MoMoreEmptyConferences #FaceTheClimateEmergency #UprootTheSystem #NoMoreEmptyPromises  https://t.co/qZNTdXmuil,english,4,26,97,2021,1
"страйкзаклімат, strikeforclimate, fridayforfuture, fightfor1point5, uprootthesystem",2021-10-01,10,#СтрайкЗаКлімат #strikeforclimate #fridayforfuture #FightFor1Point5 #uprootthesystem  https://t.co/JZhldE7TP0,qme,5,5,8,2021,1
"fridaysforfuture, facetheclimateemergency",2021-10-01,10,"Good morning. The area we stand on is predicted to be underwater by 2030 from sea level rise. 🌊  We are striking for the future.   Week 2 in Monterey, CA!   #FridaysForFuture #FaceTheClimateEmergency   @Fridays4future @GretaThunberg  https://t.co/A0WFEZnIcr",english,3,5,31,2021,1
"uprootthesystem, fridaysforfuture",2021-10-01,10,"Every day is climate strike day. Climate strike at Dumdum, Kolkata.  #UprootTheSystem #FridaysForFuture  https://t.co/UnhEvNtPHg",english,23,195,685,2021,1
"fridayforfuture, uprootthesystem, climatestrikeonline, cop26",2021-10-01,10,School strike for Climate action #FridayForFuture #UprootTheSystem #ClimateStrikeOnline #COP26  https://t.co/VdjbInXhqS,english,2,17,67,2021,1
"milano, climateaction, fridaysforfuture",2021-10-01,10,"Stop Bla, Bla, Bla. Non c’è cosa più bella che vedere cortei come quello di #Milano. Ragazzi e ragazze che denunciano l’impotenza ipocrita di troppi governi, compreso il nostro, subalterni agli interessi economici. Insistere, insistere,insistere. #ClimateAction #FridaysForFuture  https://t.co/LgZyalkc9h",italian,2,18,89,2021,1
"fridaysforfuture, results",2021-10-01,10,#FridaysForfuture #Results Gabions retaining wall is to provide leteral Movement of soil or rock in order to control the Active Earth pressure @ClimateChange  https://t.co/HMn4PVKhSn,english,2,10,26,2021,1
"fridaysforfuture, hamburg",2021-10-01,10,"#FridaysForFuture in #Hamburg @fff_hamburg ist einfach top. Leute auf der Straße, klar und deutlich, laut, jung, klug.  https://t.co/F5KvBIlZMV",german,19,142,605,2021,1
"ihrlasstunskeinewahl, fridaysforfuture",2021-10-01,10,"🎉 Klimastreik in München! 🎉 Der Wahlkampf ist vorbei, die Klimakrise leider nicht. Deshalb waren wir heute wieder auf Münchens Straßen für echte Klimagerechtigkeit. Denn #IhrLasstUnsKeineWahl! Unser Protest geht weiter! #FridaysForFuture  📸 @zauberberg15  https://t.co/r1ZZegvseS",german,37,178,781,2021,1
"bangladesh, climatechange, climateaction, fridaysforfuture",2021-10-01,10,"Farhana, a young activist from #Bangladesh joins the global climate strike to protect the futures of children from the effects of #ClimateChange.  Young people are doing everything they can to protect our planet. We must join them and take #ClimateAction now!  #FridaysForFuture  https://t.co/fHM1ggZO2e",english,6,8,51,2021,1
"digitalstrike, worldleaders, climatedisaster, climateemergency, codered, climateactionnow, climatestrikeonline, fridaysforfuture, boomersforclimatejustice",2021-10-01,10,"#DigitalStrike week 82 #WorldLeaders, we need more than talk &amp; empty promises. We need DRASTIC changes NOW to avert #ClimateDisaster! #ClimateEmergency #CodeRed #ClimateActionNOW #ClimateStrikeOnline #FridaysForFuture #BoomersForClimateJustice @ClimateCrisis @POTUS @ClimateEnvoy  https://t.co/PJNck6FySM",english,2,12,20,2021,1
"digitalstrike, worldleaders, cop26, climateaction, planet, climatestrikeonline, fridaysforfuture, boomersforclimatejustice",2021-10-01,10,"#DigitalStrike week 82  #WorldLeaders, #COP26 must be more than talk and no real #ClimateAction. DRASTIC emissions cuts are needed to save lives and the #planet. #ClimateStrikeOnline #FridaysForFuture #BoomersForClimateJustice @ClimateCrisis @POTUS @VP @ClimateEnvoy  https://t.co/vBejI9bUNz",english,3,16,25,2021,1
"fridaysforfuture, comicsforclimate, climatechange, climateaction, death, halloween, costumeshopping, happyspookyseason, peoplearedying, animalsaredying, globalcrisis, thefutureneedsus, facetheclimateemergency, trickortreat, onetwoclimatescomingforyou, scary, noplanetb",2021-10-01,10,Comic #FridaysForFuture #comicsforclimate #ClimateChange #ClimateAction #death #halloween #CostumeShopping #HappySpookySeason #PeopleAreDying #AnimalsAreDying #GlobalCrisis #TheFutureNeedsUs #FaceTheClimateEmergency #TrickOrTreat #OneTwoClimatesComingForYou #Scary #noplanetb  https://t.co/maUndA36vX,english,2,6,18,2021,1
"climateemergency, climateaction, climatecrisis, facetheclimateemergency, fridaysforfuture, climate",2021-10-01,10,Climate strike week 14  #ClimateEmergency  #ClimateAction  #ClimateCrisis  #FaceTheClimateEmergency  #FridaysForFuture  #climate  https://t.co/qONGA7oEil,english,8,23,104,2021,1
"climateemergency, youth4climate, cambioclimatico, fridaysforfuture",2021-10-01,10,Vi sblocco un ricordo😏 #ClimateEmergency #Youth4Climate #CambioClimatico  #FridaysForFuture  https://t.co/WRaEmJPToY,italian,5,13,13,2021,1
"gretathunberg, greta, precop26, fridaysforfuture, milan",2021-10-01,10,"Il corteo nel centro di Milano. Greta balla sulle note di Bella Ciao. “La speranza siamo noi: another world is possible, we are unstoppable” #GretaThunberg #Greta #PreCOP26 #FridaysForFuture #Milan   https://t.co/sf6eYbzCK9",italian,2,4,9,2021,1
"climatestrike, schoolstrikeforclimate, fridaysforfuture",2021-10-01,10,"Week 115 #ClimateStrike Turkey announced that they will sign the Paris Agreement soon. While this is a good stat, we are still expecting sincere steps towards reducing carbon footprint and policies that are not dependent on fossil oil. #SchoolStrikeforClimate #FridaysForFuture  https://t.co/VHSJzyeh7R",english,6,58,179,2021,1
"climatestrike, schoolstrike4climate, uprootthesystem, fridaysforfuture",2021-10-01,10,My week 78 #ClimateStrike We need urgent climate action. #schoolstrike4climate #UprootTheSystem #FridaysForFuture  https://t.co/fZVtxTERXH,english,94,580,2840,2021,1
"climatestrike, fridaysforfuture, schoolstrike4climate, uprootthesystem",2021-10-01,10,"School strike week 127. Later is too late,the time for climate Action is now. @GretaThunberg #climatestrike #fridaysforfuture #schoolstrike4climate #UprootTheSystem  https://t.co/Wu0NBw3EMm",english,9,31,175,2021,1
"uprootthesystem, riseupmovement, fridaysforfuture, schoolstrike4climate",2021-10-01,10,More people are  people are fleeing their homes due to issues related to climate change #UprootTheSystem  #RiseUpMovement  #FridaysForFuture  #schoolstrike4climate  https://t.co/UzaUPFCcTg,english,3,13,88,2021,1
"climatestrikeonline, fridaysforfuture, climateaction, climateemergency",2021-10-01,10,My 62 weeks. #climatestrikeonline  #fridaysforfuture #climateaction                                 #ClimateEmergency  https://t.co/cmUuh2wKrr,english,30,212,1289,2021,1
"cop26, climateaction, climate, climateemergency, fridaysforfuture, schoolstrike",2021-10-01,10,🌎   Two thousand children sent a unique message to world leaders asking them to stop climate change   ➡️ The Planet:  https://t.co/9PIVRWtnlj  ➡️ This video deserves endless retweets  #COP26 #climateaction #climate  @fionaharvey #climateemergency #FridaysForFuture #SchoolStrike  https://t.co/PyxsaJHUDg,english,55,583,877,2021,1
"fridaysforfuture, uprootthesystem, togetherfornature",2021-10-01,10,COP26 begins at the end of this month. We need real action not more meaningless promises.  Join us on November 5th!  #FridaysForFuture #UprootTheSystem   Cc @_KyleDownie   #TogetherForNature  https://t.co/9RrTpdck87,english,5,13,30,2021,1
fridaysforfuture,2021-10-01,10,Week 51: #FridaysForFuture   COP26 is less than a month away and still all we hear are empty promises!  https://t.co/iGQfr5r5EI,english,4,27,104,2021,1
fridaysforfuture,2021-10-01,10,Amazing turn out in Mailano today at the #FridaysForFuture Strike!  https://t.co/UA6nE43ZyH,english,12,32,239,2021,1
"fridaysforfuture, climatecrisis",2021-10-01,10,"Manikganj is one of the most affected area due to climate crisis. Our activists from Manikganj is striking for climate justice. Support us, protect our mother earth.   #FridaysForFuture #ClimateCrisis @GretaThunberg @Fridays4future  https://t.co/ZGgs6jVuu4",english,38,317,1253,2021,1
"riseupmovement, climatestrike, fridaysforfuture, schoolstrike4climate, uprootthesystem",2021-10-01,10,School strike for climate in Milano. #Riseupmovement #ClimateStrike  #fridaysforfuture #schoolstrike4climate #UprootTheSystem  https://t.co/lyPku9YVPz,english,21,185,837,2021,1
fridaysforfuture,2021-10-01,10,thread dei cartelli piu belli al #FridaysForFuture oltre il mio  https://t.co/JgEKZHICNG,italian,4,35,142,2021,1
"climatestrike, fridaysforfuture, schoolstrike4climate",2021-10-01,10,Edinburgh local #ClimateStrike today!! We did have to move because of the drastic weather change. #FridaysForFuture #schoolstrike4climate We demand climate action.  https://t.co/tPYsPSqz7P,english,31,206,965,2021,1
fridaysforfuture,2021-10-01,10,"I Fridays For Future e il concetto di danneggiamento e proprietà privata (Borsa di Milano, 1 ottobre 2021) #FridaysForFuture  https://t.co/Z6Jqmc1q9K",italian,34,41,204,2021,1
"fridaysforfuture, uprootthesystem",2021-10-01,10,COP26 begins at the end of this month. We need real action not more meaningless promises.  Join us on November 5th!  #FridaysForFuture #UprootTheSystem  https://t.co/HCxGxDqrYV,english,28,190,785,2021,1
"climatestrike, fridaysforfuture, schoolstrike4climate, uprootthesystem",2021-10-01,10,"School strike week 163, in Milano. #climatestrike #fridaysforfuture #schoolstrike4climate #UprootTheSystem  https://t.co/030Rp9zgTE",english,210,1561,9675,2021,1
"transizioneecologica, fridaysforfuture",2021-10-01,10,"Presto si scoprirà che il greenpass si chiama così perché, una volta imposto a tutti col ricatto, sarà lo strumento principe per imporre dall'alto la #transizioneecologica, controllando e limitando i comportamenti ""scorretti"" dei cittadini. Wait and see. #fridaysforfuture",italian,2,19,41,2021,1
"schoolstrike4climate, stopeacop, fossilfuels, fridaysforfuture, climatestrike",2021-10-01,10,I was joined by fellow activists for today's #schoolstrike4climate to send a message to world leaders to #StopEACOP and keep #fossilfuels in ground. #FridaysForFuture #ClimateStrike  https://t.co/2eoMVKqQFr,english,10,53,214,2021,1
"48th, climatestrike, lucknow, up, india, fridaysforfuture, climateactionnow, climateemergency",2021-10-01,10,"Week #48th #ClimateStrike🌍 in #Lucknow #UP #India 🇮🇳  We don't need empty promises,  We need actions, We need to act now!🚨  @FFFIndia @GretaThunberg  #FridaysForFuture #ClimateActionNow #ClimateEmergency  https://t.co/p2dipu7AEF",english,27,193,884,2021,1
"fridaysforfuture, ilmastolakko, ilmastokriisi, ilmastonmuutos",2021-10-01,10,"Ilmastolakko, nyt on pakko! #FridaysForFuture #ilmastolakko #ilmastokriisi #ilmastonmuutos  https://t.co/FJPZOcKGGi",finnish,17,135,691,2021,1
"fridaysforfuture, timetoact",2021-10-01,10,"🌍 Si le réchauffement climatique se poursuit, les enfants vivront  2 fois + de cyclones et de feux de forêts que leurs grands-parents 3 fois + de crues 5 fois + de sécheresses. 10 fois +vagues de chaleur  https://t.co/Tn59P5g6nC @FRANCE24 @CyrielleCab #FridaysForFuture #timeToAct",french,4,13,20,2021,1
"climatestrike, fridaysforfuture, fridaysforfuturemilano, precop, youth4climate, youthwashing",2021-10-01,10,"MILANO, PIU' DI 50.000 IN PIAZZA PER LA GIUSTIZIA CLIMATICA  La testa è in Cadorna la coda è ancora in Cordusio  @radiondadurto @radiopopmilano @DinamoPress @FFF_Milano @fffitalia   #ClimateStrike  #FridaysForFuture  #FridaysForFutureMilano  #PreCop #Youth4Climate  #YouthWashing  https://t.co/PSoVEgQndH",italian,2,10,28,2021,1
fridaysforfuture,2021-10-01,10,Milan right now!! #FridaysForFuture  https://t.co/NbRyI46wxb,english,7,85,507,2021,1
"fridaysforfuture, uprootthesystem",2021-10-01,10,It's time no more blah blah blah #FridaysForFuture  #UprootTheSystem  @GretaThunberg  https://t.co/ghGswZrw4K,english,31,245,1462,2021,1
"climateaction, fridaysforfuture, ilmastolakko, nytonpakko, mindthegap, climatestrike",2021-10-01,10,"We are in front of the Finnish Parliament this Friday too: If we don't take immediate #ClimateAction, there will be consequences! 🌍🔥  #FridaysForFuture #ilmastolakko #nytonpakko #MindTheGap #ClimateStrike  https://t.co/7IuQwA9j8Y",english,2,5,10,2021,1
"fridaysforfuture, fridays4future, climateaction, climatestrike, sdgs, climate",2021-10-01,10,"Buy less plastic &amp; reusable shopping bag.Use long-lasting light bulbs,Energy efficient light bulbs to reduce greenhouse gas emissions.Volunteer, educate, conserve water &amp; plant trees. @Fridays4future #FridaysForFuture #fridays4future #ClimateAction #ClimateStrike #SDGs  #climate  https://t.co/8745EyOJ9L",english,2,14,35,2021,1
fridaysforfuture,2021-10-01,10,#FridaysForFuture week 108. On Gadigal land.  https://t.co/sIuvhX3RxL,english,5,46,281,2021,1
"fridaysforfuture, climateaction, schoolstrike4climate",2021-10-01,10,Week 41 school strike for climate change. #FridaysForFuture #ClimateAction  #SchoolStrike4Climate  https://t.co/twkGwZw5rh,english,2,12,56,2021,1
lützerathbleibt,2021-10-01,10,"++JETZT++ Greenpeace- Aktivist:innen rollen zusammen mit @AlleDoerfer in Lützerath eine klare Botschaft aus. Wir kämpfen dafür, dass #LützerathBleibt ✊ @greenpeace_de @LuetziBleibt @Ende__Gelaende @FridayForFuture  https://t.co/6lniafXwUx",german,7,134,635,2021,1
fridaysforfuture,2021-10-01,10,#FridaysForFuture .@KombGreen  solutions. Day 5 of progress. Gabions installation at kiambea along outering road. LET'S PROTECT OUR RIVERS.  https://t.co/lmkkyGOGjS,english,2,10,19,2021,1
"mindthegap, climatestrikeonline, fridaysforfuture, facetheclimateemergency, climateactivist, talkforfuture, thereisnoplanetb, climatejustice",2021-10-01,10,SKOLSTREJK FÖR KLIMATET  sChOoL sTrIkE wEeK 1  (I posted pictures from my own account for the first time.) #MindTheGap #climatestrikeonline #FridaysForFuture #FaceTheClimateEmergency #climateactivist #talkforfuture #thereisnoplanetb #ClimateJustice  https://t.co/pitAViPU2K,english,4,13,54,2021,1
"fridaysforfuture, climateactionday",2021-10-01,10,Six at today's #FridaysForFuture in Bairnsdale. Plus a further 9 down the road for FOE #ClimateActionDay  https://t.co/1IYrtaGWf5,english,6,10,36,2021,1
"fridaysforfuture, lützerathbleibt",2021-10-01,10,"""Wir rufen explizit zur Verteidigung von Lützerath auf!""  Pauline Brünger, #FridaysForFuture  Pressekonferenz zum Beginn der Rodungssaison, #LützerathBleibt  https://t.co/gCkqwqc9Q0",german,15,141,695,2021,1
"fridaysforfuture, cop26",2021-10-01,10,LIVE: #FridaysforFuture climate strike in Milan ahead of #COP26  https://t.co/rL0Vk5whyi,english,7,20,74,2021,1
"climateaction, fridaysforfuture",2021-10-01,10,Online and in-person Fridays for Future says it’s time for #ClimateAction   It isn’t too late  Time to work together and get the job done!  #FridaysForFuture @parents4future @GretaThunberg @JimBair62221006 @ppptec @JanineClimate @fff_europe @FFF_Indigenous @climateparentnz  https://t.co/H8ltEhhfRQ,english,2,13,34,2021,1
"milano, fridaysforfuture, piueuropa",2021-10-01,10,✅ Siamo a #Milano al #fridaysforfuture!  Non c’è crescita senza sostenibilità: lo sviluppo sostenibile per noi di #PiuEuropa è alla base della giustizia tra generazioni. La tutela ambientale è un diritto fondamentale 🌞 🌳 🌊  https://t.co/spVB57eNaH,italian,3,8,32,2021,1
"climateemergency, fridays4future, fridaysforfuture",2021-10-01,10,Still true:  https://t.co/GmHTbcfTd8 #ClimateEmergency #Fridays4Future #FridaysForFuture Immer noch wahr:  https://t.co/4NT5JbfLK4,german,11,49,211,2021,1
"uniclimatestrike, fridaysforfuture, scientists4future, peopleforfuture",2021-10-01,10,#UniClimateStrike in Stockholm! Autumn has arrived - but no political change. #FridaysForFuture #Scientists4Future  #PeopleForFuture. This should and must happen:  https://t.co/HFTLgzyDeP  https://t.co/wsJ22eYf9f,english,2,8,29,2021,1
"stopeacop, fridaysforfuture, climatestrike",2021-10-01,10,"About one-third of the East African Crude Oil Pipeline will be built in the Lake Victoria basin, a source of water and livelihoods for up to 40 million people.  #StopEACOP for people, for climate, and for nature. #FridaysForFuture #ClimateStrike  https://t.co/xcRTCreOQa",english,4,139,329,2021,1
"policymakers, fridaysforfuture",2021-10-01,10,I want pollution free air for my child I want plastic free ocean for my child  I want Sustainable climate for my child I want better world for my child   I want generous #policymakers to turn above rights into reality for my child.  #FridaysForFuture  @GretaThunberg @vanessa_vash  https://t.co/K7WiEP7lxg,english,5,37,89,2021,1
"fridaysforfuture, uprootthesystem",2021-10-01,10,Youth is demanding their right of secured present and future from policymakers but they are failing us  #FridaysForFuture  #UprootTheSystem  @GretaThunberg @vanessa_vash @KaoHua3 @AlexandriaV2005 @parents4future @ExtinctionR @WakioDorcas @NakabuyeHildaF @eve_chantel @mnyomb1  https://t.co/FoTNwZTdqq,english,3,14,30,2021,1
"schoolstrike4climate, india, climatejustice, actnow, fridaysforfuture, facetheclimateemergency, globalclimatestrike",2021-10-01,10,"Week 16th #SchoolStrike4Climate 🌍 in #India. 🇮🇳  What do we want? #ClimateJustice! When we want? Right here, #ActNow!  #FridaysForFuture #FaceTheClimateEmergency #GlobalClimateStrike  @GretaThunberg @vanessa_vash @Riseupmovt @Fridays4future @FFFIndia @FFFPunjab @parents4future  https://t.co/qqTtuuOIED",english,9,17,39,2021,1
"globalclimatestrike, punjab, fightfor1point5, fridaysforfuture, schoolstrike4climate, uprootthesystem",2021-10-01,10,"#GlobalClimateStrike by @KambojAnanya, @KambojAahana &amp; @GryllsMaitreya in #Punjab.  #FightFor1Point5 #FridaysForFuture #SchoolStrike4Climate #UprootTheSystem  @GretaThunberg @vanessa_vash @Farah_mkma @sophiamathur @CevikusHB @AaravSeth_ @ap4ca @Fridays4FutureU @AnHourForNature  https://t.co/1v62eMPomD",english,4,22,55,2021,1
"globalclimatestrike, india, climatejustice, fridaysforfuture, uprootthesystem",2021-10-01,10,Week64 #GlobalClimateStrike🌍 in #India🇮🇳  WORLD LEADERS !   We Want To Be Heard. We Want Actions.  We Want Results.  We Want #ClimateJustice   #FridaysForFuture #UprootTheSystem @GretaThunberg @vanessa_vash @KaoHua3 @ExtinctionR @FFFIndia @Fridays4future @parents4future @FFFMAPA  https://t.co/LNHHh9Vpp1,english,11,67,120,2021,1
"myleaderrukshmani, rukshmanikumari, mylife, fridaysforfuture",2021-10-01,10,"हो पांव में जिसके ताकत, वो चल के रहता है,  दुश्मन लाख गिराए, संभल के रहता है,  हो जिस चिराग़ में शिद्दत लौ बढ़ाने की  हवाऐं लाख बुझाऐं, वो जल के रहता है।।  #myleaderrukshmani #rukshmanikumari #mylife #FridaysForFuture   @KumariRukshmani  https://t.co/JO27KwCEKy",hindi,6,10,196,2021,1
"vegispowerful, worldvegetarianday, fridayfitness, fridaysforfuture",2021-10-01,10,हमारे धर्म हमेशा से ही कहते आ रहे हैं कि #VegIsPowerful और इंसान के लिए मांसाहार जानलेवा है जिसे अब विज्ञान ने भी मान लिया है...  तो आईए इस #WorldVegetarianDay पर मांसाहार छोड़ने का प्रण करें।  मांसाहार त्यागकर शाकाहारी बनें और #FridayFitness में शामिल हो जाएं। #FridaysForFuture  https://t.co/TFHldKq1Q8,hindi,24,303,313,2021,1
fridaysforfuture,2021-10-01,10,Good morning #FridaysForFuture  https://t.co/QBEt70omiW,english,7,14,176,2021,1
"ohnemeinenphysiotherapeuten, therapeutenamlimit, gesundheitkämpft, unten, einesorgeweniger, heimatstern, noafd, fridaysforfuture, legalizeit, richtermüller",2021-10-01,10,Guten Morgen vom Hirschgarten 👋😷Heute Ärztefreitag💉 #ohnemeinenphysiotherapeuten #therapeutenamlimit #gesundheitkämpft #unten #einesorgeweniger #heimatstern #noafd #FridaysForFuture #LegalizeIt #RichterMüller 🚦 💪✊🌈🍀☕🥦,german,4,3,16,2021,1
"happyday, goodnewstoday, goodmorning, fridaysforfuture, fridaymotivation",2021-10-01,10,Morning is one more chance given to you to live your life and spread the warmth of your personality. good day all my tw friends ! ! ! #HappyDay #GoodNewsToday #goodmorning #FridaysForFuture #FridayMotivation  https://t.co/hYBm1vxm6A,english,5,4,47,2021,1
"fridaysforfuture, bundestagswahl21, talkimhangar7, servustv",2021-10-01,10,"""Man stelle sich vor, die jungen Menschen von #FridaysForFuture hätten mitwählen dürfen!"" - Sozialexperte @UlrichSchneider zum Ausgang der #Bundestagswahl21.  #TalkImHangar7 #ServusTV",german,4,4,23,2021,1
"fridaysforfuture, vancouver, climatestrike, climateaction, stoptmx, savefairycreek",2021-09-30,9,💥Tomorrow! #FridaysForFuture #Vancouver Week #10! 💚🌎 Let’s continue the momentum from last week’s #ClimateStrike 💪 Come join us in front of Vancouver City Hall (12th &amp; Cambie) anytime from 12-2pm to demand #ClimateAction NOW from our decision-makers! #StopTMX #SaveFairyCreek  https://t.co/4ZbxuTSLmr,english,4,23,47,2021,30
"climatecrisis, climatestrike, nyc, fridaysforfuture",2021-09-30,9,Check out this wonderful @voguemagazine article on our recent Climate Strike in NYC! #ClimateCrisis #ClimateStrike #NYC #FridaysForFuture   https://t.co/dspjpv0Fzi,english,2,3,21,2021,30
"11thhourforclimate, fridaysforfuture",2021-09-30,9,As long as we all make an effort… As long as we all try our best…. As long as we consider our actions and make the best choices we can to be greener and live sustainably … we will make a difference and we can save the world. #11thHourForClimate #FridaysForFuture,english,2,5,12,2021,30
"fridayforfuture, gretathunberg, greta, draghi",2021-09-30,9,"Allucinante, giornalismo patetico. In sostanza sono le tre ragazzine che hanno ricevuto il presidente del Consiglio e non il contrario. Siamo finiti 😢 #FridayForFuture #GretaThunberg #Greta #draghi  https://t.co/6He2zNKU9x",italian,2,4,10,2021,30
"rentensystem, umlagenfinanzierterente",2021-09-30,9,"@TradingInAC @KuroObi4 @Volker02401523 @ThomasKnorra @FridayForFuture @fdp Alle Rentenmodelle, die auf Zinsen beruhen, beruhen auf Ausbeutung - entweder des Menschen und/oder der Natur.  Das einzige #Rentensystem, dass nicht zerstört werden kann, ist die #UmlagenfinanzierteRente. Die muss wiederhergestellt werden. Alle Einkommen und -arten zahlen ein.",german,6,7,19,2021,30
"klimakrise, lützerathbleibt",2021-09-30,9,"Stellt euch vor: Es ist 2021. Die #Klimakrise eskaliert. An einem Freitag streiken 620.000. Der Rückhalt für konsequenten Klimaschutz ist da. Die Lösungen auch.  Und währenddessen darf ein Kohlekonzern ein Dorf vernichten und damit die 1,5°C-Grenze reißen.  WTF. #LützerathBleibt",german,49,418,2474,2021,30
"gretathunberg, fridaysforfuture",2021-09-30,9,"Per non dimenticare... Questo è un titolo dell'aprile 2019, meno di due anni fa. Il linguaggio e gli argomenti sono quelli della Bestia. Lo scherno volgare rivolto contro chi si batte per un mondo migliore. E credono pure di essere spiritosi #GretaThunberg #fridaysforfuture  https://t.co/U2KEvVNM7e",italian,107,256,1372,2021,30
lützerathbleibt,2021-09-30,9,"Zerstört RWE Lützerath und verbrennt die Kohle darunter, ist die 1,5-Grad-Grenze im Rheinland unerreichbar. Die Rodungen dafür können schon morgen starten.  Gemeinsam können wir dafür sorgen, dass #LützerathBleibt. Dafür brauchen wir jetzt euch!  https://t.co/gFWjYIIsC9",german,16,194,569,2021,30
"freiheit, fdp, bge",2021-09-30,9,"@KuroObi4 @Volker02401523 @ThomasKnorra @FridayForFuture @fdp #Freiheit ist inzwischen ein Wischiwaschi-Begriff ohne Definition.  ""Freiheit"" im Sinne der #FDP bedeutet individuelle Entwicklung auf Kosten anderer.  Fragen Sie sich mal, wie frei Sie sind z.B. eine Erwerbsarbeit abzulehnen, oder Ihre Wohnsituation frei zu bestimmen.  #BGE",german,2,5,16,2021,30
"fff, fridaysforfuture",2021-09-30,9,#FFF #FridaysForFuture  https://t.co/psuXUm3q4q,qme,2,10,13,2021,30
fridaysforfuture,2021-09-30,9,"Die #FridaysForFuture-Kinder verstehen nicht, warum meine Generation (Ich bin Jahrgang 1971) sich nicht durch ihre  Appelle erreichen lässt?  Ich erkläre es euch.  Wir sind durchapokalypsiert. Komplett.  Es ist eure erste Krise, oder?  Die ist wie die erste Liebe. Intensiv.",german,3,4,17,2021,30
"klimat, gretathunberg, fridaysforfuture",2021-09-30,9,Det här måste ändå uppmärksammas och adresseras inom klimatkampen. Stämmer det här så kan vi ju inte bara stå och titta på #klimat #GretaThunberg #FridaysForFuture  https://t.co/kCPx11tEjN,swedish,24,16,48,2021,30
"klimawahl, fridaysforfuture",2021-09-30,9,"Am Ende war die Bundestagswahl doch keine #Klimawahl. Hätte #FridaysforFuture eine Partei empfehlen sollen? Im Interview spricht @Luisamneubauer über Konsequenzen, junge Liberale und die künftige Regierung:  https://t.co/1mo8HojMJv  https://t.co/OPTN1ZPnld",german,14,9,48,2021,30
"media, crisiclimatica, youth4climate, fridaysforfuture",2021-09-29,9,@XrItaly sta presidiando le sedi dei più importanti #media italiani per ricordare che la #crisiclimatica dev’essere al primo posto dell’agenda mediatica.  #Youth4Climate #FridaysForFuture  https://t.co/gSA6Ecwhtb,italian,3,15,23,2021,29
"fridaysforfuture, klimakrise, klimastreik",2021-09-29,9,"Bitte warnen Sie Ihre Verwandten, Bekannten und Arbeitskollegen.  #FridaysForFuture #Klimakrise #Klimastreik  https://t.co/Xfl7BLCSAV",german,10,32,95,2021,29
"ampel, spd, klimakatastrophe, jamaika, laschet, fridaysforfuture, transformation, göpel, fdp, grüne",2021-09-29,9,#Ampel #SPD #Klimakatastrophe #Jamaika 🌻 @FridayForFuture #Laschet #FridaysForFuture   #Transformation  Forscherin Maja #Göpel :  Wie können #FDP und #Grüne  gemeinsam die Gesellschaft verändern?    https://t.co/D2VkPF9A8s,german,4,5,12,2021,29
"precop26, milano, fridaysforfuture",2021-09-29,9,"Dieser Blick, während der italienische Umweltminister Cingolani ihr die Welt erklären will....  #PreCOP26  #Milano  #FridaysForFuture",german,3,3,14,2021,29
"lapalma, fridaysforfuture",2021-09-29,9,Wie viel CO2 stößt eigentlich dieser Vulkan auf #LaPalma aus und hat @Luisamneubauer schon dagegen demonstriert?! Es geht doch um unsere Zukunft!!! #FridaysForFuture,german,30,40,111,2021,29
